rep,gamma,alignment,selfmask,arm,shd_a,f1_a,shd_b,excess,spurious,n_true_edges,miss_rate
8,0.0,aligned,0,complete,1,0.9714285714285714,4,0,0,18,0.471025
8,0.0,aligned,0,td_pc,3,0.9090909090909091,6,2,0,18,0.471025
8,0.0,aligned,0,mvpc,4,0.875,7,3,0,18,0.471025
8,0.0,aligned,0,fci,3,0.9090909090909091,6,2,0,18,0.471025
8,0.0,aligned,0,cdnod_true,3,0.9090909090909091,6,2,0,18,0.471025
8,0.0,aligned,0,cdnod_est,3,0.9090909090909091,6,2,0,18,0.471025
8,0.0,closed,0,complete,1,0.9714285714285714,4,0,0,18,0.471025
8,0.0,closed,0,td_pc,3,0.9090909090909091,6,2,0,18,0.471025
8,0.0,closed,0,mvpc,4,0.875,7,3,0,18,0.471025
8,0.0,closed,0,fci,3,0.9090909090909091,6,2,0,18,0.471025
8,0.0,closed,0,cdnod_true,3,0.9090909090909091,6,2,0,18,0.471025
8,0.0,closed,0,cdnod_est,3,0.9090909090909091,6,2,0,18,0.471025
8,1.0,aligned,0,complete,1,0.9714285714285714,4,0,2,18,0.471025
8,1.0,aligned,0,td_pc,3,0.9090909090909091,6,2,2,18,0.471025
8,1.0,aligned,0,mvpc,4,0.875,7,3,2,18,0.471025
8,1.0,aligned,0,fci,3,0.9090909090909091,6,2,2,18,0.471025
8,1.0,aligned,0,cdnod_true,3,0.9090909090909091,6,2,2,18,0.471025
8,1.0,aligned,0,cdnod_est,3,0.9090909090909091,6,2,2,18,0.471025
8,1.0,closed,0,complete,1,0.9714285714285714,4,0,0,18,0.471025
8,1.0,closed,0,td_pc,3,0.9090909090909091,6,2,0,18,0.471025
8,1.0,closed,0,mvpc,4,0.875,7,3,0,18,0.471025
8,1.0,closed,0,fci,3,0.9090909090909091,6,2,0,18,0.471025
8,1.0,closed,0,cdnod_true,3,0.9090909090909091,6,2,0,18,0.471025
8,1.0,closed,0,cdnod_est,3,0.9090909090909091,6,2,0,18,0.471025
8,2.0,aligned,0,complete,1,0.9714285714285714,4,0,10,18,0.471025
8,2.0,aligned,0,td_pc,4,0.8823529411764706,5,3,10,18,0.471025
8,2.0,aligned,0,mvpc,5,0.8484848484848485,6,4,10,18,0.471025
8,2.0,aligned,0,fci,4,0.8823529411764706,5,3,10,18,0.471025
8,2.0,aligned,0,cdnod_true,4,0.8823529411764706,5,3,10,18,0.471025
8,2.0,aligned,0,cdnod_est,4,0.8823529411764706,5,3,10,18,0.471025
8,2.0,closed,0,complete,1,0.9714285714285714,4,0,0,18,0.471025
8,2.0,closed,0,td_pc,3,0.9090909090909091,6,2,0,18,0.471025
8,2.0,closed,0,mvpc,4,0.875,7,3,0,18,0.471025
8,2.0,closed,0,fci,3,0.9090909090909091,6,2,0,18,0.471025
8,2.0,closed,0,cdnod_true,3,0.9090909090909091,6,2,0,18,0.471025
8,2.0,closed,0,cdnod_est,3,0.9090909090909091,6,2,0,18,0.471025
8,1.0,aligned,1,complete,1,0.9714285714285714,4,0,5,18,0.49519583333333334
8,1.0,aligned,1,td_pc,3,0.9090909090909091,6,2,5,18,0.49519583333333334
8,1.0,aligned,1,mvpc,5,0.8387096774193549,8,4,5,18,0.49519583333333334
8,1.0,aligned,1,fci,3,0.9090909090909091,6,2,5,18,0.49519583333333334
8,1.0,aligned,1,cdnod_true,3,0.9090909090909091,6,2,5,18,0.49519583333333334
8,1.0,aligned,1,cdnod_est,3,0.9090909090909091,6,2,5,18,0.49519583333333334
8,1.0,closed,1,complete,1,0.9714285714285714,4,0,0,18,0.4955875
8,1.0,closed,1,td_pc,3,0.9090909090909091,6,2,0,18,0.4955875
8,1.0,closed,1,mvpc,5,0.8387096774193549,8,4,0,18,0.4955875
8,1.0,closed,1,fci,3,0.9090909090909091,6,2,0,18,0.4955875
8,1.0,closed,1,cdnod_true,3,0.9090909090909091,6,2,0,18,0.4955875
8,1.0,closed,1,cdnod_est,3,0.9090909090909091,6,2,0,18,0.4955875
