rep,gamma,alignment,selfmask,arm,shd_a,f1_a,shd_b,excess,spurious,n_true_edges,miss_rate
6,0.0,aligned,0,complete,7,0.8,12,0,0,18,0.47334583333333335
6,0.0,aligned,0,td_pc,10,0.7058823529411765,15,3,0,18,0.47334583333333335
6,0.0,aligned,0,mvpc,9,0.7272727272727273,14,2,0,18,0.47334583333333335
6,0.0,aligned,0,fci,9,0.7272727272727273,14,2,0,18,0.47334583333333335
6,0.0,aligned,0,cdnod_true,10,0.7058823529411765,15,3,0,18,0.47334583333333335
6,0.0,aligned,0,cdnod_est,10,0.7058823529411765,15,3,0,18,0.47334583333333335
6,0.0,closed,0,complete,7,0.8,12,0,0,18,0.47334583333333335
6,0.0,closed,0,td_pc,9,0.7272727272727273,14,2,0,18,0.47334583333333335
6,0.0,closed,0,mvpc,9,0.7096774193548387,14,2,0,18,0.47334583333333335
6,0.0,closed,0,fci,9,0.7272727272727273,14,2,0,18,0.47334583333333335
6,0.0,closed,0,cdnod_true,9,0.7272727272727273,14,2,0,18,0.47334583333333335
6,0.0,closed,0,cdnod_est,9,0.7272727272727273,14,2,0,18,0.47334583333333335
6,1.0,aligned,0,complete,7,0.8,12,0,10,18,0.47334583333333335
6,1.0,aligned,0,td_pc,10,0.7058823529411765,15,3,10,18,0.47334583333333335
6,1.0,aligned,0,mvpc,10,0.6875,15,3,10,18,0.47334583333333335
6,1.0,aligned,0,fci,9,0.7272727272727273,14,2,10,18,0.47334583333333335
6,1.0,aligned,0,cdnod_true,10,0.7058823529411765,15,3,10,18,0.47334583333333335
6,1.0,aligned,0,cdnod_est,10,0.7058823529411765,15,3,10,18,0.47334583333333335
6,1.0,closed,0,complete,7,0.8,12,0,0,18,0.47334583333333335
6,1.0,closed,0,td_pc,10,0.7058823529411765,15,3,0,18,0.47334583333333335
6,1.0,closed,0,mvpc,10,0.6875,15,3,0,18,0.47334583333333335
6,1.0,closed,0,fci,9,0.7272727272727273,14,2,0,18,0.47334583333333335
6,1.0,closed,0,cdnod_true,10,0.7058823529411765,15,3,0,18,0.47334583333333335
6,1.0,closed,0,cdnod_est,10,0.7058823529411765,15,3,0,18,0.47334583333333335
6,2.0,aligned,0,complete,8,0.7647058823529411,13,0,12,18,0.47334583333333335
6,2.0,aligned,0,td_pc,10,0.7058823529411765,15,2,12,18,0.47334583333333335
6,2.0,aligned,0,mvpc,10,0.6875,15,2,12,18,0.47334583333333335
6,2.0,aligned,0,fci,9,0.7272727272727273,14,1,12,18,0.47334583333333335
6,2.0,aligned,0,cdnod_true,10,0.7058823529411765,15,2,12,18,0.47334583333333335
6,2.0,aligned,0,cdnod_est,10,0.7058823529411765,15,2,12,18,0.47334583333333335
6,2.0,closed,0,complete,8,0.7647058823529411,13,0,0,18,0.47334583333333335
6,2.0,closed,0,td_pc,11,0.6666666666666666,16,3,0,18,0.47334583333333335
6,2.0,closed,0,mvpc,11,0.6451612903225806,16,3,0,18,0.47334583333333335
6,2.0,closed,0,fci,10,0.6875,15,2,0,18,0.47334583333333335
6,2.0,closed,0,cdnod_true,11,0.6666666666666666,16,3,0,18,0.47334583333333335
6,2.0,closed,0,cdnod_est,11,0.6666666666666666,16,3,0,18,0.47334583333333335
6,1.0,aligned,1,complete,7,0.8,12,0,8,18,0.497025
6,1.0,aligned,1,td_pc,10,0.7058823529411765,15,3,8,18,0.497025
6,1.0,aligned,1,mvpc,11,0.6451612903225806,16,4,8,18,0.497025
6,1.0,aligned,1,fci,9,0.7272727272727273,14,2,8,18,0.497025
6,1.0,aligned,1,cdnod_true,10,0.7058823529411765,15,3,8,18,0.497025
6,1.0,aligned,1,cdnod_est,10,0.7058823529411765,15,3,8,18,0.497025
6,1.0,closed,1,complete,7,0.8,12,0,0,18,0.49735416666666665
6,1.0,closed,1,td_pc,8,0.7647058823529411,13,1,0,18,0.49735416666666665
6,1.0,closed,1,mvpc,8,0.7333333333333333,13,1,0,18,0.49735416666666665
6,1.0,closed,1,fci,9,0.7272727272727273,14,2,0,18,0.49735416666666665
6,1.0,closed,1,cdnod_true,8,0.7647058823529411,13,1,0,18,0.49735416666666665
6,1.0,closed,1,cdnod_est,8,0.7647058823529411,13,1,0,18,0.49735416666666665
