rep,gamma,alignment,selfmask,arm,shd_a,f1_a,shd_b,excess,spurious,n_true_edges,miss_rate
16,0.0,aligned,0,complete,3,0.9142857142857143,7,0,0,18,0.47197916666666667
16,0.0,aligned,0,td_pc,4,0.8823529411764706,8,1,0,18,0.47197916666666667
16,0.0,aligned,0,mvpc,6,0.8125,10,3,0,18,0.47197916666666667
16,0.0,aligned,0,fci,5,0.8484848484848485,9,2,0,18,0.47197916666666667
16,0.0,aligned,0,cdnod_true,4,0.8823529411764706,8,1,0,18,0.47197916666666667
16,0.0,aligned,0,cdnod_est,4,0.8823529411764706,8,1,0,18,0.47197916666666667
16,0.0,closed,0,complete,3,0.9142857142857143,7,0,0,18,0.47197916666666667
16,0.0,closed,0,td_pc,5,0.8571428571428571,9,2,0,18,0.47197916666666667
16,0.0,closed,0,mvpc,6,0.8125,10,3,0,18,0.47197916666666667
16,0.0,closed,0,fci,5,0.8484848484848485,9,2,0,18,0.47197916666666667
16,0.0,closed,0,cdnod_true,5,0.8571428571428571,9,2,0,18,0.47197916666666667
16,0.0,closed,0,cdnod_est,5,0.8571428571428571,9,2,0,18,0.47197916666666667
16,1.0,aligned,0,complete,3,0.9142857142857143,7,0,5,18,0.47197916666666667
16,1.0,aligned,0,td_pc,4,0.8823529411764706,8,1,5,18,0.47197916666666667
16,1.0,aligned,0,mvpc,5,0.8484848484848485,9,2,5,18,0.47197916666666667
16,1.0,aligned,0,fci,5,0.8484848484848485,9,2,5,18,0.47197916666666667
16,1.0,aligned,0,cdnod_true,4,0.8823529411764706,8,1,5,18,0.47197916666666667
16,1.0,aligned,0,cdnod_est,4,0.8823529411764706,8,1,5,18,0.47197916666666667
16,1.0,closed,0,complete,3,0.9142857142857143,7,0,0,18,0.47197916666666667
16,1.0,closed,0,td_pc,4,0.8823529411764706,8,1,0,18,0.47197916666666667
16,1.0,closed,0,mvpc,5,0.8484848484848485,9,2,0,18,0.47197916666666667
16,1.0,closed,0,fci,5,0.8484848484848485,9,2,0,18,0.47197916666666667
16,1.0,closed,0,cdnod_true,4,0.8823529411764706,8,1,0,18,0.47197916666666667
16,1.0,closed,0,cdnod_est,4,0.8823529411764706,8,1,0,18,0.47197916666666667
16,2.0,aligned,0,complete,3,0.9142857142857143,7,0,10,18,0.47197916666666667
16,2.0,aligned,0,td_pc,4,0.8823529411764706,8,1,10,18,0.47197916666666667
16,2.0,aligned,0,mvpc,6,0.8125,10,3,10,18,0.47197916666666667
16,2.0,aligned,0,fci,5,0.8484848484848485,9,2,10,18,0.47197916666666667
16,2.0,aligned,0,cdnod_true,4,0.8823529411764706,8,1,10,18,0.47197916666666667
16,2.0,aligned,0,cdnod_est,4,0.8823529411764706,8,1,10,18,0.47197916666666667
16,2.0,closed,0,complete,3,0.9142857142857143,7,0,0,18,0.47197916666666667
16,2.0,closed,0,td_pc,4,0.8823529411764706,8,1,0,18,0.47197916666666667
16,2.0,closed,0,mvpc,5,0.8484848484848485,9,2,0,18,0.47197916666666667
16,2.0,closed,0,fci,5,0.8484848484848485,9,2,0,18,0.47197916666666667
16,2.0,closed,0,cdnod_true,4,0.8823529411764706,8,1,0,18,0.47197916666666667
16,2.0,closed,0,cdnod_est,4,0.8823529411764706,8,1,0,18,0.47197916666666667
16,1.0,aligned,1,complete,3,0.9142857142857143,7,0,2,18,0.4961375
16,1.0,aligned,1,td_pc,4,0.8823529411764706,8,1,2,18,0.4961375
16,1.0,aligned,1,mvpc,6,0.8125,10,3,2,18,0.4961375
16,1.0,aligned,1,fci,5,0.8484848484848485,9,2,2,18,0.4961375
16,1.0,aligned,1,cdnod_true,4,0.8823529411764706,8,1,2,18,0.4961375
16,1.0,aligned,1,cdnod_est,4,0.8823529411764706,8,1,2,18,0.4961375
16,1.0,closed,1,complete,3,0.9142857142857143,7,0,0,18,0.49595
16,1.0,closed,1,td_pc,4,0.8823529411764706,8,1,0,18,0.49595
16,1.0,closed,1,mvpc,5,0.8484848484848485,9,2,0,18,0.49595
16,1.0,closed,1,fci,4,0.8823529411764706,8,1,0,18,0.49595
16,1.0,closed,1,cdnod_true,4,0.8823529411764706,8,1,0,18,0.49595
16,1.0,closed,1,cdnod_est,4,0.8823529411764706,8,1,0,18,0.49595
