rep,gamma,alignment,n_triples,alpha,agree_cond,agree_all
14,0.0,aligned,300,0.01,0.91,0.97
14,0.0,closed,300,0.01,0.9333333333333333,0.9833333333333333
14,1.0,aligned,300,0.01,0.92,0.97
14,1.0,closed,300,0.01,0.94,0.98
14,2.0,aligned,300,0.01,0.9233333333333333,0.9666666666666667
14,2.0,closed,300,0.01,0.9133333333333333,0.9633333333333334
