rep,gamma,alignment,n_triples,alpha,agree_cond,agree_all
17,0.0,aligned,300,0.01,0.8866666666666667,0.9866666666666667
17,0.0,closed,300,0.01,0.8866666666666667,0.98
17,1.0,aligned,300,0.01,0.8833333333333333,0.99
17,1.0,closed,300,0.01,0.8733333333333333,0.97
17,2.0,aligned,300,0.01,0.8433333333333334,0.93
17,2.0,closed,300,0.01,0.8433333333333334,0.9133333333333333
