rep,gamma,alignment,n_triples,alpha,agree_cond,agree_all
19,0.0,aligned,300,0.01,0.9266666666666666,0.9533333333333334
19,0.0,closed,300,0.01,0.9166666666666666,0.9566666666666667
19,1.0,aligned,300,0.01,0.92,0.9466666666666667
19,1.0,closed,300,0.01,0.91,0.9566666666666667
19,2.0,aligned,300,0.01,0.8633333333333333,0.91
19,2.0,closed,300,0.01,0.8966666666666666,0.9533333333333334
