rep,gamma,alignment,n_triples,alpha,agree_cond,agree_all
4,0.0,aligned,300,0.01,0.9466666666666667,0.9666666666666667
4,0.0,closed,300,0.01,0.96,0.97
4,1.0,aligned,300,0.01,0.94,0.9666666666666667
4,1.0,closed,300,0.01,0.94,0.9733333333333334
4,2.0,aligned,300,0.01,0.9433333333333334,0.97
4,2.0,closed,300,0.01,0.9566666666666667,0.9633333333333334
