rep,gamma,alignment,n_triples,alpha,agree_cond,agree_all
13,0.0,aligned,300,0.01,0.9366666666666666,0.9733333333333334
13,0.0,closed,300,0.01,0.9466666666666667,0.97
13,1.0,aligned,300,0.01,0.94,0.9566666666666667
13,1.0,closed,300,0.01,0.9533333333333334,0.9666666666666667
13,2.0,aligned,300,0.01,0.91,0.9233333333333333
13,2.0,closed,300,0.01,0.9366666666666666,0.9466666666666667
