rep,gamma,alignment,n_triples,alpha,agree_cond,agree_all
12,0.0,aligned,300,0.01,0.95,0.9666666666666667
12,0.0,closed,300,0.01,0.9566666666666667,0.9766666666666667
12,1.0,aligned,300,0.01,0.9466666666666667,0.97
12,1.0,closed,300,0.01,0.9733333333333334,0.98
12,2.0,aligned,300,0.01,0.9266666666666666,0.9466666666666667
12,2.0,closed,300,0.01,0.9266666666666666,0.9466666666666667
