rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
2,0.0,0.0,aligned,0,0,0,6,6,0,nan,0.4696625,1|4|7|8|10|11
2,0.0,0.0,closed,0,0,0,6,6,0,nan,0.4696625,1|4|7|8|10|11
2,0.0,0.15,aligned,2,0,2,6,6,2,1.0,0.4767458333333333,1|4|7|8|10|11
2,0.0,0.15,closed,4,0,4,6,6,4,1.0,0.4768375,1|4|7|8|10|11
2,0.0,0.3,aligned,5,0,5,6,6,5,0.6,0.48357083333333334,1|4|7|8|10|11
2,0.0,0.3,closed,5,1,4,6,6,5,0.6,0.48342083333333336,1|4|7|8|10|11
2,0.0,0.6,aligned,5,0,5,6,6,10,0.7,0.4970375,1|4|7|8|10|11
2,0.0,0.6,closed,5,0,5,6,6,9,0.6666666666666666,0.4970541666666667,1|4|7|8|10|11
2,1.0,0.0,aligned,3,1,2,6,6,4,1.0,0.4696625,1|4|7|8|10|11
2,1.0,0.0,closed,1,0,1,6,6,1,0.0,0.4696625,1|4|7|8|10|11
2,1.0,0.15,aligned,5,2,3,6,6,7,1.0,0.47670833333333335,1|4|7|8|10|11
2,1.0,0.15,closed,1,0,1,6,6,1,1.0,0.4765333333333333,1|4|7|8|10|11
2,1.0,0.3,aligned,7,2,5,6,6,10,0.8,0.4835833333333333,1|4|7|8|10|11
2,1.0,0.3,closed,5,0,5,6,6,6,1.0,0.4836083333333333,1|4|7|8|10|11
2,1.0,0.6,aligned,7,2,5,6,6,12,0.75,0.4971125,1|4|7|8|10|11
2,1.0,0.6,closed,7,1,6,6,6,11,0.8181818181818182,0.4972125,1|4|7|8|10|11
2,2.0,0.0,aligned,8,4,4,6,6,8,1.0,0.4696625,1|4|7|8|10|11
2,2.0,0.0,closed,1,1,0,6,6,1,1.0,0.4696625,1|4|7|8|10|11
2,2.0,0.15,aligned,5,3,2,6,6,6,1.0,0.47667916666666665,1|4|7|8|10|11
2,2.0,0.15,closed,3,0,3,6,6,3,1.0,0.476875,1|4|7|8|10|11
2,2.0,0.3,aligned,7,3,4,6,6,7,0.8571428571428571,0.48362083333333333,1|4|7|8|10|11
2,2.0,0.3,closed,5,0,5,6,6,7,1.0,0.4837708333333333,1|4|7|8|10|11
2,2.0,0.6,aligned,9,4,5,6,6,13,0.7692307692307693,0.4972916666666667,1|4|7|8|10|11
2,2.0,0.6,closed,7,1,6,6,6,10,0.8,0.4972916666666667,1|4|7|8|10|11
