rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
8,0.0,0.0,aligned,1,1,0,6,6,1,1.0,0.471025,3|5|6|7|8|9
8,0.0,0.0,closed,0,0,0,6,6,0,nan,0.471025,3|5|6|7|8|9
8,0.0,0.15,aligned,3,0,3,6,6,4,1.0,0.47567916666666665,3|5|6|7|8|9
8,0.0,0.15,closed,3,1,2,6,6,4,1.0,0.4759,3|5|6|7|8|9
8,0.0,0.3,aligned,3,0,3,6,6,5,1.0,0.48078333333333334,3|5|6|7|8|9
8,0.0,0.3,closed,4,0,4,6,6,6,1.0,0.4810583333333333,3|5|6|7|8|9
8,0.0,0.6,aligned,7,1,6,6,6,11,1.0,0.4908,3|5|6|7|8|9
8,0.0,0.6,closed,6,1,5,6,6,8,1.0,0.4913125,3|5|6|7|8|9
8,1.0,0.0,aligned,7,5,2,6,6,7,1.0,0.471025,3|5|6|7|8|9
8,1.0,0.0,closed,3,1,2,6,6,3,1.0,0.471025,3|5|6|7|8|9
8,1.0,0.15,aligned,6,4,2,6,6,7,1.0,0.47570833333333334,3|5|6|7|8|9
8,1.0,0.15,closed,3,0,3,6,6,6,1.0,0.47602083333333334,3|5|6|7|8|9
8,1.0,0.3,aligned,8,4,4,6,6,11,1.0,0.48087083333333336,3|5|6|7|8|9
8,1.0,0.3,closed,6,1,5,6,6,10,1.0,0.48080833333333334,3|5|6|7|8|9
8,1.0,0.6,aligned,10,4,6,6,6,13,1.0,0.4909208333333333,3|5|6|7|8|9
8,1.0,0.6,closed,9,3,6,6,6,14,1.0,0.4907958333333333,3|5|6|7|8|9
8,2.0,0.0,aligned,8,5,3,6,6,8,1.0,0.471025,3|5|6|7|8|9
8,2.0,0.0,closed,0,0,0,6,6,0,nan,0.471025,3|5|6|7|8|9
8,2.0,0.15,aligned,8,5,3,6,6,8,1.0,0.47576666666666667,3|5|6|7|8|9
8,2.0,0.15,closed,2,0,2,6,6,2,1.0,0.4760875,3|5|6|7|8|9
8,2.0,0.3,aligned,9,5,4,6,6,13,1.0,0.4808458333333333,3|5|6|7|8|9
8,2.0,0.3,closed,5,0,5,6,6,6,1.0,0.48101666666666665,3|5|6|7|8|9
8,2.0,0.6,aligned,11,5,6,6,6,14,1.0,0.4908708333333333,3|5|6|7|8|9
8,2.0,0.6,closed,6,0,6,6,6,9,1.0,0.4910875,3|5|6|7|8|9
