rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
13,0.0,0.0,aligned,0,0,0,6,6,0,nan,0.4705708333333333,0|1|4|7|8|10
13,0.0,0.0,closed,0,0,0,6,6,0,nan,0.4705708333333333,0|1|4|7|8|10
13,0.0,0.15,aligned,5,0,5,6,6,8,1.0,0.47712916666666666,0|1|4|7|8|10
13,0.0,0.15,closed,3,0,3,6,6,5,1.0,0.477075,0|1|4|7|8|10
13,0.0,0.3,aligned,6,0,6,6,6,9,1.0,0.4837,0|1|4|7|8|10
13,0.0,0.3,closed,8,2,6,6,6,11,1.0,0.48380833333333334,0|1|4|7|8|10
13,0.0,0.6,aligned,6,0,6,6,6,11,1.0,0.49661666666666665,0|1|4|7|8|10
13,0.0,0.6,closed,7,1,6,6,6,12,1.0,0.4965,0|1|4|7|8|10
13,1.0,0.0,aligned,8,3,5,6,6,9,1.0,0.4705708333333333,0|1|4|7|8|10
13,1.0,0.0,closed,0,0,0,6,6,0,nan,0.4705708333333333,0|1|4|7|8|10
13,1.0,0.15,aligned,6,2,4,6,6,9,1.0,0.4771916666666667,0|1|4|7|8|10
13,1.0,0.15,closed,4,0,4,6,6,6,1.0,0.4772208333333333,0|1|4|7|8|10
13,1.0,0.3,aligned,8,3,5,6,6,12,1.0,0.4837708333333333,0|1|4|7|8|10
13,1.0,0.3,closed,4,0,4,6,6,6,1.0,0.4833791666666667,0|1|4|7|8|10
13,1.0,0.6,aligned,8,2,6,6,6,14,1.0,0.4967916666666667,0|1|4|7|8|10
13,1.0,0.6,closed,6,0,6,6,6,12,1.0,0.4962625,0|1|4|7|8|10
13,2.0,0.0,aligned,6,3,3,6,6,10,1.0,0.4705708333333333,0|1|4|7|8|10
13,2.0,0.0,closed,1,1,0,6,6,1,1.0,0.4705708333333333,0|1|4|7|8|10
13,2.0,0.15,aligned,8,3,5,6,6,12,1.0,0.47731666666666667,0|1|4|7|8|10
13,2.0,0.15,closed,5,1,4,6,6,7,1.0,0.4771625,0|1|4|7|8|10
13,2.0,0.3,aligned,9,3,6,6,6,13,1.0,0.48389583333333336,0|1|4|7|8|10
13,2.0,0.3,closed,6,1,5,6,6,9,1.0,0.483,0|1|4|7|8|10
13,2.0,0.6,aligned,11,5,6,6,6,16,1.0,0.4971083333333333,0|1|4|7|8|10
13,2.0,0.6,closed,7,1,6,6,6,13,1.0,0.49627916666666666,0|1|4|7|8|10
