rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
1,0.0,0.0,aligned,0,0,0,6,6,0,nan,0.471,5|6|7|9|10|11
1,0.0,0.0,closed,0,0,0,6,6,0,nan,0.471,5|6|7|9|10|11
1,0.0,0.15,aligned,4,0,4,6,6,4,1.0,0.477175,5|6|7|9|10|11
1,0.0,0.15,closed,3,0,3,6,6,5,1.0,0.47715,5|6|7|9|10|11
1,0.0,0.3,aligned,6,1,5,6,6,8,1.0,0.483325,5|6|7|9|10|11
1,0.0,0.3,closed,5,1,4,6,6,7,1.0,0.4836416666666667,5|6|7|9|10|11
1,0.0,0.6,aligned,7,1,6,6,6,15,1.0,0.4962375,5|6|7|9|10|11
1,0.0,0.6,closed,7,1,6,6,6,14,1.0,0.49669583333333334,5|6|7|9|10|11
1,1.0,0.0,aligned,7,3,4,6,6,7,1.0,0.471,5|6|7|9|10|11
1,1.0,0.0,closed,1,0,1,6,6,1,1.0,0.471,5|6|7|9|10|11
1,1.0,0.15,aligned,8,4,4,6,6,8,1.0,0.47722916666666665,5|6|7|9|10|11
1,1.0,0.15,closed,4,0,4,6,6,5,1.0,0.4771166666666667,5|6|7|9|10|11
1,1.0,0.3,aligned,9,4,5,6,6,11,1.0,0.4834125,5|6|7|9|10|11
1,1.0,0.3,closed,6,0,6,6,6,8,1.0,0.48377916666666665,5|6|7|9|10|11
1,1.0,0.6,aligned,9,3,6,6,6,16,1.0,0.4963708333333333,5|6|7|9|10|11
1,1.0,0.6,closed,7,1,6,6,6,12,1.0,0.49680416666666666,5|6|7|9|10|11
1,2.0,0.0,aligned,3,3,0,6,6,4,1.0,0.471,5|6|7|9|10|11
1,2.0,0.0,closed,0,0,0,6,6,0,nan,0.471,5|6|7|9|10|11
1,2.0,0.15,aligned,5,3,2,6,6,6,1.0,0.4771916666666667,5|6|7|9|10|11
1,2.0,0.15,closed,4,0,4,6,6,5,1.0,0.4771458333333333,5|6|7|9|10|11
1,2.0,0.3,aligned,8,3,5,6,6,11,1.0,0.48335416666666664,5|6|7|9|10|11
1,2.0,0.3,closed,5,1,4,6,6,8,1.0,0.48365416666666666,5|6|7|9|10|11
1,2.0,0.6,aligned,8,2,6,6,6,16,1.0,0.49625833333333336,5|6|7|9|10|11
1,2.0,0.6,closed,6,0,6,6,6,12,1.0,0.4962958333333333,5|6|7|9|10|11
