rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
9,0.0,0.0,aligned,1,0,1,6,6,1,0.0,0.4712625,1|3|4|9|10|11
9,0.0,0.0,closed,0,0,0,6,6,0,nan,0.4712625,1|3|4|9|10|11
9,0.0,0.15,aligned,4,1,3,6,6,5,1.0,0.47749583333333334,1|3|4|9|10|11
9,0.0,0.15,closed,3,1,2,6,6,4,1.0,0.477575,1|3|4|9|10|11
9,0.0,0.3,aligned,5,0,5,6,6,9,0.8888888888888888,0.4836916666666667,1|3|4|9|10|11
9,0.0,0.3,closed,5,0,5,6,6,9,0.8888888888888888,0.48363333333333336,1|3|4|9|10|11
9,0.0,0.6,aligned,6,0,6,6,6,11,0.8181818181818182,0.496525,1|3|4|9|10|11
9,0.0,0.6,closed,7,1,6,6,6,14,0.8571428571428571,0.496175,1|3|4|9|10|11
9,1.0,0.0,aligned,6,4,2,6,6,7,1.0,0.4712625,1|3|4|9|10|11
9,1.0,0.0,closed,1,1,0,6,6,1,1.0,0.4712625,1|3|4|9|10|11
9,1.0,0.15,aligned,7,3,4,6,6,8,0.875,0.47734166666666666,1|3|4|9|10|11
9,1.0,0.15,closed,2,0,2,6,6,2,1.0,0.477425,1|3|4|9|10|11
9,1.0,0.3,aligned,8,3,5,6,6,12,0.9166666666666666,0.4835,1|3|4|9|10|11
9,1.0,0.3,closed,6,1,5,6,6,9,1.0,0.4834875,1|3|4|9|10|11
9,1.0,0.6,aligned,9,3,6,6,6,14,0.8571428571428571,0.49614583333333334,1|3|4|9|10|11
9,1.0,0.6,closed,7,1,6,6,6,13,0.8461538461538461,0.49622916666666667,1|3|4|9|10|11
9,2.0,0.0,aligned,5,2,3,6,6,5,1.0,0.4712625,1|3|4|9|10|11
9,2.0,0.0,closed,0,0,0,6,6,0,nan,0.4712625,1|3|4|9|10|11
9,2.0,0.15,aligned,4,0,4,6,6,5,1.0,0.47730416666666664,1|3|4|9|10|11
9,2.0,0.15,closed,4,0,4,6,6,4,1.0,0.47729166666666667,1|3|4|9|10|11
9,2.0,0.3,aligned,7,2,5,6,6,11,0.9090909090909091,0.48342083333333336,1|3|4|9|10|11
9,2.0,0.3,closed,5,0,5,6,6,10,0.9,0.48363333333333336,1|3|4|9|10|11
9,2.0,0.6,aligned,8,2,6,6,6,14,0.8571428571428571,0.49609583333333335,1|3|4|9|10|11
9,2.0,0.6,closed,6,0,6,6,6,11,0.8181818181818182,0.4963708333333333,1|3|4|9|10|11
