rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
11,0.0,0.0,aligned,2,2,0,6,6,2,0.5,0.4705416666666667,4|5|6|9|10|11
11,0.0,0.0,closed,0,0,0,6,6,0,nan,0.4705416666666667,4|5|6|9|10|11
11,0.0,0.15,aligned,6,2,4,6,6,10,1.0,0.47705416666666667,4|5|6|9|10|11
11,0.0,0.15,closed,3,0,3,6,6,6,1.0,0.4769791666666667,4|5|6|9|10|11
11,0.0,0.3,aligned,5,1,4,6,6,8,1.0,0.48325,4|5|6|9|10|11
11,0.0,0.3,closed,5,0,5,6,6,8,1.0,0.4832166666666667,4|5|6|9|10|11
11,0.0,0.6,aligned,7,1,6,6,6,11,1.0,0.4955791666666667,4|5|6|9|10|11
11,0.0,0.6,closed,7,1,6,6,6,13,1.0,0.4958166666666667,4|5|6|9|10|11
11,1.0,0.0,aligned,7,4,3,6,6,7,1.0,0.4705416666666667,4|5|6|9|10|11
11,1.0,0.0,closed,3,1,2,6,6,3,1.0,0.4705416666666667,4|5|6|9|10|11
11,1.0,0.15,aligned,9,4,5,6,6,13,1.0,0.47707916666666667,4|5|6|9|10|11
11,1.0,0.15,closed,6,1,5,6,6,9,0.8888888888888888,0.47680416666666664,4|5|6|9|10|11
11,1.0,0.3,aligned,9,5,4,6,6,14,1.0,0.4833208333333333,4|5|6|9|10|11
11,1.0,0.3,closed,5,1,4,6,6,8,1.0,0.48322916666666665,4|5|6|9|10|11
11,1.0,0.6,aligned,11,5,6,6,6,17,1.0,0.49561666666666665,4|5|6|9|10|11
11,1.0,0.6,closed,7,1,6,6,6,12,1.0,0.4958625,4|5|6|9|10|11
11,2.0,0.0,aligned,9,5,4,6,6,11,1.0,0.4705416666666667,4|5|6|9|10|11
11,2.0,0.0,closed,1,1,0,6,6,1,1.0,0.4705416666666667,4|5|6|9|10|11
11,2.0,0.15,aligned,9,4,5,6,6,16,1.0,0.47705,4|5|6|9|10|11
11,2.0,0.15,closed,4,0,4,6,6,7,1.0,0.47695,4|5|6|9|10|11
11,2.0,0.3,aligned,10,5,5,6,6,18,1.0,0.48331666666666667,4|5|6|9|10|11
11,2.0,0.3,closed,5,1,4,6,6,8,1.0,0.48315833333333336,4|5|6|9|10|11
11,2.0,0.6,aligned,12,6,6,6,6,20,1.0,0.495625,4|5|6|9|10|11
11,2.0,0.6,closed,6,0,6,6,6,13,1.0,0.4960791666666667,4|5|6|9|10|11
