rep,p,edges,density,gamma,alignment,arm,shd,shd_complete,excess,n_true_edges,miss_rate
8,20,50,2.5,0.0,aligned,td_pc,29,31,-2,50,0.554475
8,20,50,2.5,0.0,aligned,mvpc,29,31,-2,50,0.554475
8,20,50,2.5,0.0,aligned,fci,28,31,-3,50,0.554475
8,20,50,2.5,0.0,aligned,cdnod_true,29,31,-2,50,0.554475
8,20,50,2.5,0.0,aligned,cdnod_est,29,31,-2,50,0.554475
8,20,50,2.5,0.0,closed,td_pc,26,31,-5,50,0.554475
8,20,50,2.5,0.0,closed,mvpc,26,31,-5,50,0.554475
8,20,50,2.5,0.0,closed,fci,25,31,-6,50,0.554475
8,20,50,2.5,0.0,closed,cdnod_true,26,31,-5,50,0.554475
8,20,50,2.5,0.0,closed,cdnod_est,26,31,-5,50,0.554475
8,20,50,2.5,1.0,aligned,td_pc,26,29,-3,50,0.554475
8,20,50,2.5,1.0,aligned,mvpc,26,29,-3,50,0.554475
8,20,50,2.5,1.0,aligned,fci,27,29,-2,50,0.554475
8,20,50,2.5,1.0,aligned,cdnod_true,26,29,-3,50,0.554475
8,20,50,2.5,1.0,aligned,cdnod_est,26,29,-3,50,0.554475
8,20,50,2.5,1.0,closed,td_pc,28,29,-1,50,0.554475
8,20,50,2.5,1.0,closed,mvpc,28,29,-1,50,0.554475
8,20,50,2.5,1.0,closed,fci,28,29,-1,50,0.554475
8,20,50,2.5,1.0,closed,cdnod_true,28,29,-1,50,0.554475
8,20,50,2.5,1.0,closed,cdnod_est,28,29,-1,50,0.554475
8,20,50,2.5,2.0,aligned,td_pc,28,32,-4,50,0.554475
8,20,50,2.5,2.0,aligned,mvpc,28,32,-4,50,0.554475
8,20,50,2.5,2.0,aligned,fci,29,32,-3,50,0.554475
8,20,50,2.5,2.0,aligned,cdnod_true,28,32,-4,50,0.554475
8,20,50,2.5,2.0,aligned,cdnod_est,28,32,-4,50,0.554475
8,20,50,2.5,2.0,closed,td_pc,28,32,-4,50,0.554475
8,20,50,2.5,2.0,closed,mvpc,28,32,-4,50,0.554475
8,20,50,2.5,2.0,closed,fci,30,32,-2,50,0.554475
8,20,50,2.5,2.0,closed,cdnod_true,28,32,-4,50,0.554475
8,20,50,2.5,2.0,closed,cdnod_est,28,32,-4,50,0.554475
