rep,p,edges,density,gamma,alignment,arm,shd,shd_complete,excess,n_true_edges,miss_rate
8,20,30,1.5,0.0,aligned,td_pc,4,1,3,30,0.554475
8,20,30,1.5,0.0,aligned,mvpc,4,1,3,30,0.554475
8,20,30,1.5,0.0,aligned,fci,4,1,3,30,0.554475
8,20,30,1.5,0.0,aligned,cdnod_true,4,1,3,30,0.554475
8,20,30,1.5,0.0,aligned,cdnod_est,4,1,3,30,0.554475
8,20,30,1.5,0.0,closed,td_pc,3,1,2,30,0.554475
8,20,30,1.5,0.0,closed,mvpc,3,1,2,30,0.554475
8,20,30,1.5,0.0,closed,fci,4,1,3,30,0.554475
8,20,30,1.5,0.0,closed,cdnod_true,3,1,2,30,0.554475
8,20,30,1.5,0.0,closed,cdnod_est,3,1,2,30,0.554475
8,20,30,1.5,1.0,aligned,td_pc,4,1,3,30,0.554475
8,20,30,1.5,1.0,aligned,mvpc,4,1,3,30,0.554475
8,20,30,1.5,1.0,aligned,fci,4,1,3,30,0.554475
8,20,30,1.5,1.0,aligned,cdnod_true,4,1,3,30,0.554475
8,20,30,1.5,1.0,aligned,cdnod_est,4,1,3,30,0.554475
8,20,30,1.5,1.0,closed,td_pc,4,1,3,30,0.554475
8,20,30,1.5,1.0,closed,mvpc,4,1,3,30,0.554475
8,20,30,1.5,1.0,closed,fci,4,1,3,30,0.554475
8,20,30,1.5,1.0,closed,cdnod_true,4,1,3,30,0.554475
8,20,30,1.5,1.0,closed,cdnod_est,4,1,3,30,0.554475
8,20,30,1.5,2.0,aligned,td_pc,4,1,3,30,0.554475
8,20,30,1.5,2.0,aligned,mvpc,4,1,3,30,0.554475
8,20,30,1.5,2.0,aligned,fci,4,1,3,30,0.554475
8,20,30,1.5,2.0,aligned,cdnod_true,4,1,3,30,0.554475
8,20,30,1.5,2.0,aligned,cdnod_est,4,1,3,30,0.554475
8,20,30,1.5,2.0,closed,td_pc,4,1,3,30,0.554475
8,20,30,1.5,2.0,closed,mvpc,4,1,3,30,0.554475
8,20,30,1.5,2.0,closed,fci,4,1,3,30,0.554475
8,20,30,1.5,2.0,closed,cdnod_true,4,1,3,30,0.554475
8,20,30,1.5,2.0,closed,cdnod_est,4,1,3,30,0.554475
