rep,p,edges,density,gamma,alignment,arm,shd,shd_complete,excess,n_true_edges,miss_rate
8,30,45,1.5,0.0,aligned,td_pc,10,3,7,45,0.5933283333333333
8,30,45,1.5,0.0,aligned,mvpc,10,3,7,45,0.5933283333333333
8,30,45,1.5,0.0,aligned,fci,10,3,7,45,0.5933283333333333
8,30,45,1.5,0.0,aligned,cdnod_true,10,3,7,45,0.5933283333333333
8,30,45,1.5,0.0,aligned,cdnod_est,10,3,7,45,0.5933283333333333
8,30,45,1.5,0.0,closed,td_pc,7,3,4,45,0.5933283333333333
8,30,45,1.5,0.0,closed,mvpc,7,3,4,45,0.5933283333333333
8,30,45,1.5,0.0,closed,fci,7,3,4,45,0.5933283333333333
8,30,45,1.5,0.0,closed,cdnod_true,7,3,4,45,0.5933283333333333
8,30,45,1.5,0.0,closed,cdnod_est,7,3,4,45,0.5933283333333333
8,30,45,1.5,1.0,aligned,td_pc,10,3,7,45,0.5933283333333333
8,30,45,1.5,1.0,aligned,mvpc,10,3,7,45,0.5933283333333333
8,30,45,1.5,1.0,aligned,fci,10,3,7,45,0.5933283333333333
8,30,45,1.5,1.0,aligned,cdnod_true,10,3,7,45,0.5933283333333333
8,30,45,1.5,1.0,aligned,cdnod_est,10,3,7,45,0.5933283333333333
8,30,45,1.5,1.0,closed,td_pc,7,3,4,45,0.5933283333333333
8,30,45,1.5,1.0,closed,mvpc,7,3,4,45,0.5933283333333333
8,30,45,1.5,1.0,closed,fci,7,3,4,45,0.5933283333333333
8,30,45,1.5,1.0,closed,cdnod_true,7,3,4,45,0.5933283333333333
8,30,45,1.5,1.0,closed,cdnod_est,7,3,4,45,0.5933283333333333
8,30,45,1.5,2.0,aligned,td_pc,10,4,6,45,0.5933283333333333
8,30,45,1.5,2.0,aligned,mvpc,10,4,6,45,0.5933283333333333
8,30,45,1.5,2.0,aligned,fci,10,4,6,45,0.5933283333333333
8,30,45,1.5,2.0,aligned,cdnod_true,10,4,6,45,0.5933283333333333
8,30,45,1.5,2.0,aligned,cdnod_est,10,4,6,45,0.5933283333333333
8,30,45,1.5,2.0,closed,td_pc,10,4,6,45,0.5933283333333333
8,30,45,1.5,2.0,closed,mvpc,10,4,6,45,0.5933283333333333
8,30,45,1.5,2.0,closed,fci,10,4,6,45,0.5933283333333333
8,30,45,1.5,2.0,closed,cdnod_true,10,4,6,45,0.5933283333333333
8,30,45,1.5,2.0,closed,cdnod_est,10,4,6,45,0.5933283333333333
