rep,p,edges,density,gamma,alignment,arm,shd,shd_complete,excess,n_true_edges,miss_rate
9,20,50,2.5,0.0,aligned,td_pc,37,35,2,50,0.5544075
9,20,50,2.5,0.0,aligned,mvpc,37,35,2,50,0.5544075
9,20,50,2.5,0.0,aligned,fci,38,35,3,50,0.5544075
9,20,50,2.5,0.0,aligned,cdnod_true,37,35,2,50,0.5544075
9,20,50,2.5,0.0,aligned,cdnod_est,37,35,2,50,0.5544075
9,20,50,2.5,0.0,closed,td_pc,38,35,3,50,0.5544075
9,20,50,2.5,0.0,closed,mvpc,38,35,3,50,0.5544075
9,20,50,2.5,0.0,closed,fci,38,35,3,50,0.5544075
9,20,50,2.5,0.0,closed,cdnod_true,38,35,3,50,0.5544075
9,20,50,2.5,0.0,closed,cdnod_est,38,35,3,50,0.5544075
9,20,50,2.5,1.0,aligned,td_pc,38,37,1,50,0.5544075
9,20,50,2.5,1.0,aligned,mvpc,38,37,1,50,0.5544075
9,20,50,2.5,1.0,aligned,fci,39,37,2,50,0.5544075
9,20,50,2.5,1.0,aligned,cdnod_true,38,37,1,50,0.5544075
9,20,50,2.5,1.0,aligned,cdnod_est,38,37,1,50,0.5544075
9,20,50,2.5,1.0,closed,td_pc,38,37,1,50,0.5544075
9,20,50,2.5,1.0,closed,mvpc,38,37,1,50,0.5544075
9,20,50,2.5,1.0,closed,fci,38,37,1,50,0.5544075
9,20,50,2.5,1.0,closed,cdnod_true,38,37,1,50,0.5544075
9,20,50,2.5,1.0,closed,cdnod_est,38,37,1,50,0.5544075
9,20,50,2.5,2.0,aligned,td_pc,38,41,-3,50,0.5544075
9,20,50,2.5,2.0,aligned,mvpc,38,41,-3,50,0.5544075
9,20,50,2.5,2.0,aligned,fci,39,41,-2,50,0.5544075
9,20,50,2.5,2.0,aligned,cdnod_true,38,41,-3,50,0.5544075
9,20,50,2.5,2.0,aligned,cdnod_est,38,41,-3,50,0.5544075
9,20,50,2.5,2.0,closed,td_pc,35,41,-6,50,0.5544075
9,20,50,2.5,2.0,closed,mvpc,35,41,-6,50,0.5544075
9,20,50,2.5,2.0,closed,fci,35,41,-6,50,0.5544075
9,20,50,2.5,2.0,closed,cdnod_true,35,41,-6,50,0.5544075
9,20,50,2.5,2.0,closed,cdnod_est,35,41,-6,50,0.5544075
