rep,p,edges,density,gamma,alignment,arm,shd,shd_complete,excess,n_true_edges,miss_rate
6,20,50,2.5,0.0,aligned,td_pc,35,40,-5,50,0.5561375
6,20,50,2.5,0.0,aligned,mvpc,35,40,-5,50,0.5561375
6,20,50,2.5,0.0,aligned,fci,35,40,-5,50,0.5561375
6,20,50,2.5,0.0,aligned,cdnod_true,35,40,-5,50,0.5561375
6,20,50,2.5,0.0,aligned,cdnod_est,35,40,-5,50,0.5561375
6,20,50,2.5,0.0,closed,td_pc,34,40,-6,50,0.5561375
6,20,50,2.5,0.0,closed,mvpc,34,40,-6,50,0.5561375
6,20,50,2.5,0.0,closed,fci,33,40,-7,50,0.5561375
6,20,50,2.5,0.0,closed,cdnod_true,34,40,-6,50,0.5561375
6,20,50,2.5,0.0,closed,cdnod_est,34,40,-6,50,0.5561375
6,20,50,2.5,1.0,aligned,td_pc,33,40,-7,50,0.5561375
6,20,50,2.5,1.0,aligned,mvpc,33,40,-7,50,0.5561375
6,20,50,2.5,1.0,aligned,fci,33,40,-7,50,0.5561375
6,20,50,2.5,1.0,aligned,cdnod_true,33,40,-7,50,0.5561375
6,20,50,2.5,1.0,aligned,cdnod_est,33,40,-7,50,0.5561375
6,20,50,2.5,1.0,closed,td_pc,33,40,-7,50,0.5561375
6,20,50,2.5,1.0,closed,mvpc,33,40,-7,50,0.5561375
6,20,50,2.5,1.0,closed,fci,33,40,-7,50,0.5561375
6,20,50,2.5,1.0,closed,cdnod_true,33,40,-7,50,0.5561375
6,20,50,2.5,1.0,closed,cdnod_est,33,40,-7,50,0.5561375
6,20,50,2.5,2.0,aligned,td_pc,32,39,-7,50,0.5561375
6,20,50,2.5,2.0,aligned,mvpc,32,39,-7,50,0.5561375
6,20,50,2.5,2.0,aligned,fci,32,39,-7,50,0.5561375
6,20,50,2.5,2.0,aligned,cdnod_true,32,39,-7,50,0.5561375
6,20,50,2.5,2.0,aligned,cdnod_est,32,39,-7,50,0.5561375
6,20,50,2.5,2.0,closed,td_pc,35,39,-4,50,0.5561375
6,20,50,2.5,2.0,closed,mvpc,35,39,-4,50,0.5561375
6,20,50,2.5,2.0,closed,fci,34,39,-5,50,0.5561375
6,20,50,2.5,2.0,closed,cdnod_true,35,39,-4,50,0.5561375
6,20,50,2.5,2.0,closed,cdnod_est,35,39,-4,50,0.5561375
