rep,p,edges,density,gamma,alignment,arm,shd,shd_complete,excess,n_true_edges,miss_rate
2,30,45,1.5,0.0,aligned,td_pc,7,3,4,45,0.5912633333333334
2,30,45,1.5,0.0,aligned,mvpc,7,3,4,45,0.5912633333333334
2,30,45,1.5,0.0,aligned,fci,7,3,4,45,0.5912633333333334
2,30,45,1.5,0.0,aligned,cdnod_true,7,3,4,45,0.5912633333333334
2,30,45,1.5,0.0,aligned,cdnod_est,7,3,4,45,0.5912633333333334
2,30,45,1.5,0.0,closed,td_pc,8,3,5,45,0.5912633333333334
2,30,45,1.5,0.0,closed,mvpc,8,3,5,45,0.5912633333333334
2,30,45,1.5,0.0,closed,fci,8,3,5,45,0.5912633333333334
2,30,45,1.5,0.0,closed,cdnod_true,8,3,5,45,0.5912633333333334
2,30,45,1.5,0.0,closed,cdnod_est,8,3,5,45,0.5912633333333334
2,30,45,1.5,1.0,aligned,td_pc,7,4,3,45,0.5912633333333334
2,30,45,1.5,1.0,aligned,mvpc,7,4,3,45,0.5912633333333334
2,30,45,1.5,1.0,aligned,fci,7,4,3,45,0.5912633333333334
2,30,45,1.5,1.0,aligned,cdnod_true,7,4,3,45,0.5912633333333334
2,30,45,1.5,1.0,aligned,cdnod_est,7,4,3,45,0.5912633333333334
2,30,45,1.5,1.0,closed,td_pc,9,4,5,45,0.5912633333333334
2,30,45,1.5,1.0,closed,mvpc,9,4,5,45,0.5912633333333334
2,30,45,1.5,1.0,closed,fci,9,4,5,45,0.5912633333333334
2,30,45,1.5,1.0,closed,cdnod_true,9,4,5,45,0.5912633333333334
2,30,45,1.5,1.0,closed,cdnod_est,9,4,5,45,0.5912633333333334
2,30,45,1.5,2.0,aligned,td_pc,7,4,3,45,0.5912633333333334
2,30,45,1.5,2.0,aligned,mvpc,7,4,3,45,0.5912633333333334
2,30,45,1.5,2.0,aligned,fci,7,4,3,45,0.5912633333333334
2,30,45,1.5,2.0,aligned,cdnod_true,7,4,3,45,0.5912633333333334
2,30,45,1.5,2.0,aligned,cdnod_est,7,4,3,45,0.5912633333333334
2,30,45,1.5,2.0,closed,td_pc,8,4,4,45,0.5912633333333334
2,30,45,1.5,2.0,closed,mvpc,8,4,4,45,0.5912633333333334
2,30,45,1.5,2.0,closed,fci,8,4,4,45,0.5912633333333334
2,30,45,1.5,2.0,closed,cdnod_true,8,4,4,45,0.5912633333333334
2,30,45,1.5,2.0,closed,cdnod_est,8,4,4,45,0.5912633333333334
