rep,p,edges,density,gamma,alignment,arm,shd,shd_complete,excess,n_true_edges,miss_rate
5,20,30,1.5,0.0,aligned,td_pc,10,8,2,30,0.5561875
5,20,30,1.5,0.0,aligned,mvpc,10,8,2,30,0.5561875
5,20,30,1.5,0.0,aligned,fci,10,8,2,30,0.5561875
5,20,30,1.5,0.0,aligned,cdnod_true,10,8,2,30,0.5561875
5,20,30,1.5,0.0,aligned,cdnod_est,10,8,2,30,0.5561875
5,20,30,1.5,0.0,closed,td_pc,9,8,1,30,0.5561875
5,20,30,1.5,0.0,closed,mvpc,9,8,1,30,0.5561875
5,20,30,1.5,0.0,closed,fci,9,8,1,30,0.5561875
5,20,30,1.5,0.0,closed,cdnod_true,9,8,1,30,0.5561875
5,20,30,1.5,0.0,closed,cdnod_est,9,8,1,30,0.5561875
5,20,30,1.5,1.0,aligned,td_pc,10,9,1,30,0.5561875
5,20,30,1.5,1.0,aligned,mvpc,10,9,1,30,0.5561875
5,20,30,1.5,1.0,aligned,fci,10,9,1,30,0.5561875
5,20,30,1.5,1.0,aligned,cdnod_true,10,9,1,30,0.5561875
5,20,30,1.5,1.0,aligned,cdnod_est,10,9,1,30,0.5561875
5,20,30,1.5,1.0,closed,td_pc,10,9,1,30,0.5561875
5,20,30,1.5,1.0,closed,mvpc,10,9,1,30,0.5561875
5,20,30,1.5,1.0,closed,fci,10,9,1,30,0.5561875
5,20,30,1.5,1.0,closed,cdnod_true,10,9,1,30,0.5561875
5,20,30,1.5,1.0,closed,cdnod_est,10,9,1,30,0.5561875
5,20,30,1.5,2.0,aligned,td_pc,11,9,2,30,0.5561875
5,20,30,1.5,2.0,aligned,mvpc,11,9,2,30,0.5561875
5,20,30,1.5,2.0,aligned,fci,11,9,2,30,0.5561875
5,20,30,1.5,2.0,aligned,cdnod_true,11,9,2,30,0.5561875
5,20,30,1.5,2.0,aligned,cdnod_est,11,9,2,30,0.5561875
5,20,30,1.5,2.0,closed,td_pc,10,9,1,30,0.5561875
5,20,30,1.5,2.0,closed,mvpc,10,9,1,30,0.5561875
5,20,30,1.5,2.0,closed,fci,10,9,1,30,0.5561875
5,20,30,1.5,2.0,closed,cdnod_true,10,9,1,30,0.5561875
5,20,30,1.5,2.0,closed,cdnod_est,10,9,1,30,0.5561875
