rep,p,edges,density,gamma,alignment,arm,shd,shd_complete,excess,n_true_edges,miss_rate
1,20,50,2.5,0.0,aligned,td_pc,36,30,6,50,0.5537325
1,20,50,2.5,0.0,aligned,mvpc,36,30,6,50,0.5537325
1,20,50,2.5,0.0,aligned,fci,37,30,7,50,0.5537325
1,20,50,2.5,0.0,aligned,cdnod_true,36,30,6,50,0.5537325
1,20,50,2.5,0.0,aligned,cdnod_est,36,30,6,50,0.5537325
1,20,50,2.5,0.0,closed,td_pc,32,30,2,50,0.5537325
1,20,50,2.5,0.0,closed,mvpc,32,30,2,50,0.5537325
1,20,50,2.5,0.0,closed,fci,34,30,4,50,0.5537325
1,20,50,2.5,0.0,closed,cdnod_true,32,30,2,50,0.5537325
1,20,50,2.5,0.0,closed,cdnod_est,32,30,2,50,0.5537325
1,20,50,2.5,1.0,aligned,td_pc,34,29,5,50,0.5537325
1,20,50,2.5,1.0,aligned,mvpc,34,29,5,50,0.5537325
1,20,50,2.5,1.0,aligned,fci,36,29,7,50,0.5537325
1,20,50,2.5,1.0,aligned,cdnod_true,34,29,5,50,0.5537325
1,20,50,2.5,1.0,aligned,cdnod_est,34,29,5,50,0.5537325
1,20,50,2.5,1.0,closed,td_pc,34,29,5,50,0.5537325
1,20,50,2.5,1.0,closed,mvpc,34,29,5,50,0.5537325
1,20,50,2.5,1.0,closed,fci,34,29,5,50,0.5537325
1,20,50,2.5,1.0,closed,cdnod_true,34,29,5,50,0.5537325
1,20,50,2.5,1.0,closed,cdnod_est,34,29,5,50,0.5537325
1,20,50,2.5,2.0,aligned,td_pc,34,33,1,50,0.5537325
1,20,50,2.5,2.0,aligned,mvpc,34,33,1,50,0.5537325
1,20,50,2.5,2.0,aligned,fci,37,33,4,50,0.5537325
1,20,50,2.5,2.0,aligned,cdnod_true,34,33,1,50,0.5537325
1,20,50,2.5,2.0,aligned,cdnod_est,34,33,1,50,0.5537325
1,20,50,2.5,2.0,closed,td_pc,33,33,0,50,0.5537325
1,20,50,2.5,2.0,closed,mvpc,33,33,0,50,0.5537325
1,20,50,2.5,2.0,closed,fci,34,33,1,50,0.5537325
1,20,50,2.5,2.0,closed,cdnod_true,33,33,0,50,0.5537325
1,20,50,2.5,2.0,closed,cdnod_est,33,33,0,50,0.5537325
