rep,p,edges,density,gamma,alignment,arm,shd,shd_complete,excess,n_true_edges,miss_rate
0,20,50,2.5,0.0,aligned,td_pc,36,35,1,50,0.557085
0,20,50,2.5,0.0,aligned,mvpc,36,35,1,50,0.557085
0,20,50,2.5,0.0,aligned,fci,36,35,1,50,0.557085
0,20,50,2.5,0.0,aligned,cdnod_true,36,35,1,50,0.557085
0,20,50,2.5,0.0,aligned,cdnod_est,36,35,1,50,0.557085
0,20,50,2.5,0.0,closed,td_pc,39,35,4,50,0.557085
0,20,50,2.5,0.0,closed,mvpc,39,35,4,50,0.557085
0,20,50,2.5,0.0,closed,fci,39,35,4,50,0.557085
0,20,50,2.5,0.0,closed,cdnod_true,39,35,4,50,0.557085
0,20,50,2.5,0.0,closed,cdnod_est,39,35,4,50,0.557085
0,20,50,2.5,1.0,aligned,td_pc,36,34,2,50,0.557085
0,20,50,2.5,1.0,aligned,mvpc,36,34,2,50,0.557085
0,20,50,2.5,1.0,aligned,fci,36,34,2,50,0.557085
0,20,50,2.5,1.0,aligned,cdnod_true,36,34,2,50,0.557085
0,20,50,2.5,1.0,aligned,cdnod_est,36,34,2,50,0.557085
0,20,50,2.5,1.0,closed,td_pc,33,34,-1,50,0.557085
0,20,50,2.5,1.0,closed,mvpc,33,34,-1,50,0.557085
0,20,50,2.5,1.0,closed,fci,34,34,0,50,0.557085
0,20,50,2.5,1.0,closed,cdnod_true,33,34,-1,50,0.557085
0,20,50,2.5,1.0,closed,cdnod_est,33,34,-1,50,0.557085
0,20,50,2.5,2.0,aligned,td_pc,41,36,5,50,0.557085
0,20,50,2.5,2.0,aligned,mvpc,41,36,5,50,0.557085
0,20,50,2.5,2.0,aligned,fci,41,36,5,50,0.557085
0,20,50,2.5,2.0,aligned,cdnod_true,41,36,5,50,0.557085
0,20,50,2.5,2.0,aligned,cdnod_est,41,36,5,50,0.557085
0,20,50,2.5,2.0,closed,td_pc,36,36,0,50,0.557085
0,20,50,2.5,2.0,closed,mvpc,36,36,0,50,0.557085
0,20,50,2.5,2.0,closed,fci,36,36,0,50,0.557085
0,20,50,2.5,2.0,closed,cdnod_true,36,36,0,50,0.557085
0,20,50,2.5,2.0,closed,cdnod_est,36,36,0,50,0.557085
