rep,gamma,alignment,selfmask,n_indicators_with_parent,n_parent_pairs,share_affected,share_child,n_affected,standin,miss_rate
30,0.0,aligned,0,1,1,1.0,0.0,12,0,0.4698
30,0.0,closed,0,4,4,1.0,1.0,12,2,0.4698
30,1.0,aligned,0,1,1,1.0,1.0,12,11,0.4698
30,1.0,closed,0,1,1,1.0,1.0,12,0,0.4698
30,2.0,aligned,0,3,3,1.0,1.0,12,11,0.4698
30,2.0,closed,0,0,0,nan,nan,12,0,0.4698
30,1.0,aligned,1,2,2,1.0,1.0,12,10,0.49402083333333335
30,1.0,closed,1,0,0,nan,nan,12,0,0.49388333333333334
