rep,gamma,alignment,selfmask,n_indicators_with_parent,n_parent_pairs,share_affected,share_child,n_affected,standin,miss_rate
23,0.0,aligned,0,0,0,nan,nan,11,0,0.47415
23,0.0,closed,0,2,2,1.0,0.0,11,0,0.47415
23,1.0,aligned,0,8,8,1.0,0.625,11,6,0.47415
23,1.0,closed,0,0,0,nan,nan,11,0,0.47415
23,2.0,aligned,0,6,9,1.0,0.5555555555555556,11,10,0.47415
23,2.0,closed,0,0,0,nan,nan,11,0,0.47415
23,1.0,aligned,1,10,19,0.9473684210526315,0.42105263157894735,11,6,0.49837916666666665
23,1.0,closed,1,7,15,0.9333333333333333,0.3333333333333333,11,0,0.4983416666666667
