rep,gamma,alignment,estimator,pair,signed_err,truth,miss_rate
25,0.0,aligned,available,0,-0.0016313692643197264,-0.4636744683510657,0.47272916666666664
25,0.0,aligned,available,1,0.002226319018998557,-0.36755524151273833,0.47272916666666664
25,0.0,aligned,available,2,-0.006925293506181152,0.4290824210222657,0.47272916666666664
25,0.0,aligned,available,3,0.0031667243497635056,0.7630351484045055,0.47272916666666664
25,0.0,aligned,available,4,-0.009974926290736708,-0.6713432513815949,0.47272916666666664
25,0.0,aligned,available,5,0.0007752757976683955,0.2441192348798765,0.47272916666666664
25,0.0,aligned,available,6,-0.00636760334001929,-0.5093679526831894,0.47272916666666664
25,0.0,aligned,available,7,0.006461289828728592,0.007350963379752307,0.47272916666666664
25,0.0,aligned,available,8,0.00044704808866824486,0.8134519079509769,0.47272916666666664
25,0.0,aligned,available,9,-0.012930161406926377,0.29347614939763766,0.47272916666666664
25,0.0,aligned,available,10,-0.002360783139013445,-0.6808808725516706,0.47272916666666664
25,0.0,aligned,available,11,0.015016440125365155,-0.031112973677092898,0.47272916666666664
25,0.0,aligned,available,12,0.02350144112607242,0.03400560555948438,0.47272916666666664
25,0.0,aligned,available,13,-0.005554922519594163,-0.45157400097648903,0.47272916666666664
25,0.0,aligned,available,14,0.013509171667902609,0.32028645000475153,0.47272916666666664
25,0.0,aligned,available,15,-0.00622146540529922,0.5617028029056353,0.47272916666666664
25,0.0,aligned,available,16,-0.000858278836131432,0.9162221832058017,0.47272916666666664
25,0.0,aligned,available,17,-0.002322618301417778,0.4709690570055174,0.47272916666666664
25,0.0,aligned,available,18,-0.005054100755663371,-0.4817480528193088,0.47272916666666664
25,0.0,aligned,available,19,0.006320123269519307,0.3046389769302284,0.47272916666666664
25,0.0,aligned,available,20,-0.002804237267505394,0.33498014477499855,0.47272916666666664
25,0.0,aligned,available,21,-0.00542801959910999,-0.8711757478269547,0.47272916666666664
25,0.0,aligned,available,22,-0.025599267672308357,-0.42011861431329306,0.47272916666666664
25,0.0,aligned,available,23,0.0006948625090023031,0.551199563215343,0.47272916666666664
25,0.0,aligned,available,24,-0.0119858008590501,-0.5043607757362649,0.47272916666666664
25,0.0,aligned,available,25,0.013571634778266617,0.14978126763063973,0.47272916666666664
25,0.0,aligned,available,26,0.008343104286673841,0.2613395954788062,0.47272916666666664
25,0.0,aligned,available,27,-0.02041300405913765,-0.44866507575104414,0.47272916666666664
25,0.0,aligned,available,28,0.0024246599993577034,-0.6056288278982145,0.47272916666666664
25,0.0,aligned,available,29,0.002204853995052658,0.5483613177316872,0.47272916666666664
25,0.0,aligned,available,30,0.023887713286613155,0.4890919207223426,0.47272916666666664
25,0.0,aligned,available,31,0.008492775614825088,-0.6326680655238442,0.47272916666666664
25,0.0,aligned,available,32,0.02139598759094319,0.5820304852561815,0.47272916666666664
25,0.0,aligned,available,33,-0.013829704670877269,-0.17332780152604804,0.47272916666666664
25,0.0,aligned,available,34,-0.010178333582689936,-0.2931515642083229,0.47272916666666664
25,0.0,aligned,available,35,0.009514124489826359,0.522230548698311,0.47272916666666664
25,0.0,aligned,available,36,0.004902112953784399,0.6961828927012118,0.47272916666666664
25,0.0,aligned,available,37,0.002700147113728568,-0.6342477565325064,0.47272916666666664
25,0.0,aligned,available,38,-0.005358767363379147,-0.7770660716337742,0.47272916666666664
25,0.0,aligned,available,39,0.001800642591880508,0.28082030186070117,0.47272916666666664
25,0.0,aligned,available,40,-0.00596973518071553,-0.5897117072188991,0.47272916666666664
25,0.0,aligned,available,41,-0.0009156319904276792,0.011143816631088951,0.47272916666666664
25,0.0,aligned,available,42,0.0005023607860679125,0.9406779452055589,0.47272916666666664
25,0.0,aligned,available,43,-0.011078600065488609,0.33661309475376744,0.47272916666666664
25,0.0,aligned,available,44,-0.002818587769155556,-0.7879517066550201,0.47272916666666664
25,0.0,aligned,available,45,0.0050470127216581395,-0.3629701204497189,0.47272916666666664
25,0.0,aligned,available,46,0.012117743455814012,0.4761254895656989,0.47272916666666664
25,0.0,aligned,available,47,0.0030944122637647647,0.07368321877986533,0.47272916666666664
25,0.0,aligned,available,48,-0.012319566564748863,-0.8263628572098025,0.47272916666666664
25,0.0,aligned,available,49,0.014851588538917326,-0.4367540280853618,0.47272916666666664
25,0.0,aligned,available,50,0.004389854771003843,0.7462513736412254,0.47272916666666664
25,0.0,aligned,available,51,-0.0073036828313731705,0.27960558152008086,0.47272916666666664
25,0.0,aligned,available,52,-0.001454486679012601,0.22898162933739755,0.47272916666666664
25,0.0,aligned,available,53,0.002221418993752833,0.29846518621518897,0.47272916666666664
25,0.0,aligned,available,54,0.0007946807470228245,0.8284470741054853,0.47272916666666664
