rep,gamma,alignment,estimator,pair,signed_err,truth,miss_rate
22,0.0,aligned,available,0,0.0008262473179161366,0.006799222946534958,0.4692791666666667
22,0.0,aligned,available,1,-0.0067243814937199935,-0.00629794115649253,0.4692791666666667
22,0.0,aligned,available,2,0.007997338251032715,-0.20010437526133268,0.4692791666666667
22,0.0,aligned,available,3,-0.00108132126561844,-0.5473026816798418,0.4692791666666667
22,0.0,aligned,available,4,0.00402705055441116,0.482703028398819,0.4692791666666667
22,0.0,aligned,available,5,0.007721223077428948,-0.004462535020398391,0.4692791666666667
22,0.0,aligned,available,6,-0.0040110065313439525,-0.267669539687956,0.4692791666666667
22,0.0,aligned,available,7,-0.0008852402575025139,0.003698391621866361,0.4692791666666667
22,0.0,aligned,available,8,-0.017433659336279002,-0.037394494800314496,0.4692791666666667
22,0.0,aligned,available,9,-0.005107782422310109,-0.009258699073483001,0.4692791666666667
22,0.0,aligned,available,10,-0.008587866657447905,-0.0008202269302875163,0.4692791666666667
22,0.0,aligned,available,11,0.0012485315270771569,-0.756292737052554,0.4692791666666667
22,0.0,aligned,available,12,-0.004267208199115524,-0.8292230518703155,0.4692791666666667
22,0.0,aligned,available,13,-0.004416139969530608,0.43548714753643064,0.4692791666666667
22,0.0,aligned,available,14,0.0037838729228100287,-0.0010960332440634142,0.4692791666666667
22,0.0,aligned,available,15,-0.004897156510227697,-0.010627783628074615,0.4692791666666667
22,0.0,aligned,available,16,0.00013931299967304134,0.24937060281206855,0.4692791666666667
22,0.0,aligned,available,17,0.004051107739212689,-0.6088268890019586,0.4692791666666667
22,0.0,aligned,available,18,-5.335653230198467e-05,-0.8937703281904386,0.4692791666666667
22,0.0,aligned,available,19,0.003406177483682179,0.0018921454212586398,0.4692791666666667
22,0.0,aligned,available,20,0.006496703096887324,-0.42871657335830077,0.4692791666666667
22,0.0,aligned,available,21,-0.009919540686118666,0.6254827485514678,0.4692791666666667
22,0.0,aligned,available,22,-0.0027902734054585793,-0.0676404544442751,0.4692791666666667
22,0.0,aligned,available,23,-0.006203183063610515,0.0004539813431785465,0.4692791666666667
22,0.0,aligned,available,24,-0.005817205890958117,0.015439707721052975,0.4692791666666667
22,0.0,aligned,available,25,-0.005618262254531159,-0.11586062954601074,0.4692791666666667
22,0.0,aligned,available,26,0.0055614583560030795,0.7559947851276763,0.4692791666666667
22,0.0,aligned,available,27,0.0005362502839386663,0.615922398251067,0.4692791666666667
22,0.0,aligned,available,28,-0.009428263015105465,0.380511073499158,0.4692791666666667
22,0.0,aligned,available,29,-0.0006571617548122299,0.20577563519073483,0.4692791666666667
22,0.0,aligned,available,30,-0.013901224525140199,-0.25752098284871267,0.4692791666666667
22,0.0,aligned,available,31,-0.003144334277571992,-0.3927406077054837,0.4692791666666667
22,0.0,aligned,available,32,0.013123496865503799,0.008239757444779686,0.4692791666666667
22,0.0,aligned,available,33,-0.0066841262269501465,0.017001225532395938,0.4692791666666667
22,0.0,aligned,available,34,-0.01029134117745134,0.49757337824041403,0.4692791666666667
22,0.0,aligned,available,35,0.002890957227466462,0.890090499033976,0.4692791666666667
22,0.0,aligned,available,36,-0.002931386162122053,0.007514632737302042,0.4692791666666667
22,0.0,aligned,available,37,0.01607858105914406,0.35497163599902715,0.4692791666666667
22,0.0,aligned,available,38,0.00412248438605467,-0.26201340433690035,0.4692791666666667
22,0.0,aligned,available,39,0.0021898698446910503,0.4256708650544633,0.4692791666666667
