rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
30,0.0,0.0,aligned,1,1,0,6,6,1,1.0,0.4698,1|3|4|8|9|10
30,0.0,0.0,closed,1,0,1,6,6,1,1.0,0.4698,1|3|4|8|9|10
30,0.0,0.15,aligned,1,1,0,6,6,1,1.0,0.47549166666666665,1|3|4|8|9|10
30,0.0,0.15,closed,1,0,1,6,6,1,1.0,0.47525416666666664,1|3|4|8|9|10
30,0.0,0.3,aligned,1,1,0,6,6,1,1.0,0.48127916666666665,1|3|4|8|9|10
30,0.0,0.3,closed,1,1,0,6,6,1,1.0,0.48131666666666667,1|3|4|8|9|10
30,0.0,0.6,aligned,3,1,2,6,6,3,1.0,0.4925,1|3|4|8|9|10
30,0.0,0.6,closed,3,1,2,6,6,3,1.0,0.4922958333333333,1|3|4|8|9|10
30,1.0,0.0,aligned,1,0,1,6,6,1,1.0,0.4698,1|3|4|8|9|10
30,1.0,0.0,closed,0,0,0,6,6,0,nan,0.4698,1|3|4|8|9|10
30,1.0,0.15,aligned,1,0,1,6,6,1,1.0,0.47539583333333335,1|3|4|8|9|10
30,1.0,0.15,closed,0,0,0,6,6,0,nan,0.4753,1|3|4|8|9|10
30,1.0,0.3,aligned,1,0,1,6,6,1,1.0,0.48114583333333333,1|3|4|8|9|10
30,1.0,0.3,closed,1,1,0,6,6,1,1.0,0.4811375,1|3|4|8|9|10
30,1.0,0.6,aligned,2,0,2,6,6,2,1.0,0.49244166666666667,1|3|4|8|9|10
30,1.0,0.6,closed,0,0,0,6,6,0,nan,0.4926375,1|3|4|8|9|10
30,2.0,0.0,aligned,3,1,2,6,6,3,1.0,0.4698,1|3|4|8|9|10
30,2.0,0.0,closed,0,0,0,6,6,0,nan,0.4698,1|3|4|8|9|10
30,2.0,0.15,aligned,3,2,1,6,6,3,1.0,0.4753791666666667,1|3|4|8|9|10
30,2.0,0.15,closed,0,0,0,6,6,0,nan,0.47546666666666665,1|3|4|8|9|10
30,2.0,0.3,aligned,5,2,3,6,6,5,1.0,0.48110416666666667,1|3|4|8|9|10
30,2.0,0.3,closed,1,0,1,6,6,1,1.0,0.4812625,1|3|4|8|9|10
30,2.0,0.6,aligned,4,1,3,6,6,4,1.0,0.49255,1|3|4|8|9|10
30,2.0,0.6,closed,2,0,2,6,6,2,1.0,0.4923875,1|3|4|8|9|10
