rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
50,0.0,0.0,aligned,0,0,0,6,6,0,nan,0.4711708333333333,1|2|5|7|9|10
50,0.0,0.0,closed,1,0,1,6,6,1,1.0,0.4711708333333333,1|2|5|7|9|10
50,0.0,0.15,aligned,2,0,2,6,6,4,1.0,0.477,1|2|5|7|9|10
50,0.0,0.15,closed,4,1,3,6,6,5,0.8,0.4769583333333333,1|2|5|7|9|10
50,0.0,0.3,aligned,5,1,4,6,6,8,1.0,0.4832958333333333,1|2|5|7|9|10
50,0.0,0.3,closed,3,0,3,6,6,5,1.0,0.48330833333333334,1|2|5|7|9|10
50,0.0,0.6,aligned,4,1,3,6,6,7,1.0,0.4955291666666667,1|2|5|7|9|10
50,0.0,0.6,closed,5,0,5,6,6,9,1.0,0.4952625,1|2|5|7|9|10
50,1.0,0.0,aligned,10,4,6,6,6,11,1.0,0.4711708333333333,1|2|5|7|9|10
50,1.0,0.0,closed,1,0,1,6,6,1,1.0,0.4711708333333333,1|2|5|7|9|10
50,1.0,0.15,aligned,9,5,4,6,6,11,1.0,0.47707083333333333,1|2|5|7|9|10
50,1.0,0.15,closed,3,0,3,6,6,4,1.0,0.47722916666666665,1|2|5|7|9|10
50,1.0,0.3,aligned,9,4,5,6,6,10,1.0,0.48332916666666664,1|2|5|7|9|10
50,1.0,0.3,closed,5,0,5,6,6,6,1.0,0.48306666666666664,1|2|5|7|9|10
50,1.0,0.6,aligned,7,3,4,6,6,11,1.0,0.4954875,1|2|5|7|9|10
50,1.0,0.6,closed,6,1,5,6,6,9,1.0,0.49519583333333334,1|2|5|7|9|10
50,2.0,0.0,aligned,7,3,4,6,6,11,1.0,0.4711708333333333,1|2|5|7|9|10
50,2.0,0.0,closed,1,0,1,6,6,1,1.0,0.4711708333333333,1|2|5|7|9|10
50,2.0,0.15,aligned,9,4,5,6,6,14,1.0,0.47704166666666664,1|2|5|7|9|10
50,2.0,0.15,closed,1,0,1,6,6,2,1.0,0.47709583333333333,1|2|5|7|9|10
50,2.0,0.3,aligned,8,3,5,6,6,12,1.0,0.48327916666666665,1|2|5|7|9|10
50,2.0,0.3,closed,4,1,3,6,6,6,0.8333333333333334,0.48342083333333336,1|2|5|7|9|10
50,2.0,0.6,aligned,6,2,4,6,6,11,1.0,0.4953666666666667,1|2|5|7|9|10
50,2.0,0.6,closed,6,1,5,6,6,9,1.0,0.4953708333333333,1|2|5|7|9|10
