rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
39,0.0,0.0,aligned,0,0,0,6,6,0,nan,0.47055,1|3|4|5|7|11
39,0.0,0.0,closed,2,2,0,6,6,2,1.0,0.47055,1|3|4|5|7|11
39,0.0,0.15,aligned,3,0,3,6,6,5,1.0,0.47679166666666667,1|3|4|5|7|11
39,0.0,0.15,closed,5,1,4,6,6,7,1.0,0.4767958333333333,1|3|4|5|7|11
39,0.0,0.3,aligned,3,0,3,6,6,5,1.0,0.4831,1|3|4|5|7|11
39,0.0,0.3,closed,6,1,5,6,6,7,1.0,0.4826916666666667,1|3|4|5|7|11
39,0.0,0.6,aligned,4,0,4,6,6,9,1.0,0.4949375,1|3|4|5|7|11
39,0.0,0.6,closed,6,1,5,6,6,10,1.0,0.4948958333333333,1|3|4|5|7|11
39,1.0,0.0,aligned,5,3,2,6,6,5,1.0,0.47055,1|3|4|5|7|11
39,1.0,0.0,closed,2,1,1,6,6,2,1.0,0.47055,1|3|4|5|7|11
39,1.0,0.15,aligned,9,4,5,6,6,12,1.0,0.4767458333333333,1|3|4|5|7|11
39,1.0,0.15,closed,3,0,3,6,6,5,1.0,0.4767458333333333,1|3|4|5|7|11
39,1.0,0.3,aligned,9,4,5,6,6,10,1.0,0.482975,1|3|4|5|7|11
39,1.0,0.3,closed,4,0,4,6,6,6,1.0,0.48275833333333334,1|3|4|5|7|11
39,1.0,0.6,aligned,8,4,4,6,6,12,1.0,0.49478333333333335,1|3|4|5|7|11
39,1.0,0.6,closed,4,0,4,6,6,6,1.0,0.49474583333333333,1|3|4|5|7|11
39,2.0,0.0,aligned,8,2,6,6,6,9,1.0,0.47055,1|3|4|5|7|11
39,2.0,0.0,closed,1,1,0,6,6,1,1.0,0.47055,1|3|4|5|7|11
39,2.0,0.15,aligned,8,3,5,6,6,11,1.0,0.4767208333333333,1|3|4|5|7|11
39,2.0,0.15,closed,4,0,4,6,6,6,1.0,0.4766875,1|3|4|5|7|11
39,2.0,0.3,aligned,8,3,5,6,6,12,1.0,0.48291666666666666,1|3|4|5|7|11
39,2.0,0.3,closed,5,1,4,6,6,7,1.0,0.4827375,1|3|4|5|7|11
39,2.0,0.6,aligned,8,4,4,6,6,13,1.0,0.4947375,1|3|4|5|7|11
39,2.0,0.6,closed,7,1,6,6,6,11,1.0,0.4947916666666667,1|3|4|5|7|11
