rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
25,0.0,0.0,aligned,0,0,0,6,6,0,nan,0.47272916666666664,1|3|5|6|7|9
25,0.0,0.0,closed,1,0,1,6,6,1,1.0,0.47272916666666664,1|3|5|6|7|9
25,0.0,0.15,aligned,3,0,3,6,6,6,1.0,0.47806666666666664,1|3|5|6|7|9
25,0.0,0.15,closed,4,0,4,6,6,7,1.0,0.4782125,1|3|5|6|7|9
25,0.0,0.3,aligned,4,0,4,6,6,7,1.0,0.48342083333333336,1|3|5|6|7|9
25,0.0,0.3,closed,5,1,4,6,6,7,1.0,0.4836875,1|3|5|6|7|9
25,0.0,0.6,aligned,6,0,6,6,6,11,1.0,0.4943958333333333,1|3|5|6|7|9
25,0.0,0.6,closed,5,0,5,6,6,9,1.0,0.49435833333333334,1|3|5|6|7|9
25,1.0,0.0,aligned,1,1,0,6,6,1,1.0,0.47272916666666664,1|3|5|6|7|9
25,1.0,0.0,closed,0,0,0,6,6,0,nan,0.47272916666666664,1|3|5|6|7|9
25,1.0,0.15,aligned,3,0,3,6,6,5,1.0,0.4781125,1|3|5|6|7|9
25,1.0,0.15,closed,3,0,3,6,6,5,1.0,0.47817916666666666,1|3|5|6|7|9
25,1.0,0.3,aligned,5,1,4,6,6,7,1.0,0.48354166666666665,1|3|5|6|7|9
25,1.0,0.3,closed,4,0,4,6,6,5,1.0,0.48339166666666666,1|3|5|6|7|9
25,1.0,0.6,aligned,7,1,6,6,6,13,1.0,0.49470833333333336,1|3|5|6|7|9
25,1.0,0.6,closed,6,0,6,6,6,9,1.0,0.49444166666666667,1|3|5|6|7|9
25,2.0,0.0,aligned,2,1,1,6,6,2,1.0,0.47272916666666664,1|3|5|6|7|9
25,2.0,0.0,closed,0,0,0,6,6,0,nan,0.47272916666666664,1|3|5|6|7|9
25,2.0,0.15,aligned,3,1,2,6,6,5,1.0,0.4782416666666667,1|3|5|6|7|9
25,2.0,0.15,closed,5,1,4,6,6,5,1.0,0.47809583333333333,1|3|5|6|7|9
25,2.0,0.3,aligned,7,2,5,6,6,11,1.0,0.4838208333333333,1|3|5|6|7|9
25,2.0,0.3,closed,3,0,3,6,6,6,1.0,0.4833375,1|3|5|6|7|9
25,2.0,0.6,aligned,7,1,6,6,6,12,1.0,0.4951541666666667,1|3|5|6|7|9
25,2.0,0.6,closed,7,1,6,6,6,13,1.0,0.494225,1|3|5|6|7|9
