rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
35,0.0,0.0,aligned,0,0,0,6,6,0,nan,0.473025,2|6|8|9|10|11
35,0.0,0.0,closed,2,0,2,6,6,2,1.0,0.473025,2|6|8|9|10|11
35,0.0,0.15,aligned,6,0,6,6,6,10,1.0,0.47910416666666666,2|6|8|9|10|11
35,0.0,0.15,closed,5,0,5,6,6,8,1.0,0.47935,2|6|8|9|10|11
35,0.0,0.3,aligned,5,0,5,6,6,11,1.0,0.48565833333333336,2|6|8|9|10|11
35,0.0,0.3,closed,7,2,5,6,6,13,1.0,0.48575416666666665,2|6|8|9|10|11
35,0.0,0.6,aligned,6,0,6,6,6,16,1.0,0.49800833333333333,2|6|8|9|10|11
35,0.0,0.6,closed,7,1,6,6,6,17,1.0,0.4978125,2|6|8|9|10|11
35,1.0,0.0,aligned,6,4,2,6,6,6,1.0,0.473025,2|6|8|9|10|11
35,1.0,0.0,closed,1,0,1,6,6,1,1.0,0.473025,2|6|8|9|10|11
35,1.0,0.15,aligned,8,4,4,6,6,12,1.0,0.4790333333333333,2|6|8|9|10|11
35,1.0,0.15,closed,7,1,6,6,6,12,1.0,0.47901666666666665,2|6|8|9|10|11
35,1.0,0.3,aligned,8,4,4,6,6,14,1.0,0.48556666666666665,2|6|8|9|10|11
35,1.0,0.3,closed,5,0,5,6,6,11,1.0,0.4857375,2|6|8|9|10|11
35,1.0,0.6,aligned,11,5,6,6,6,21,1.0,0.4979458333333333,2|6|8|9|10|11
35,1.0,0.6,closed,7,1,6,6,6,16,1.0,0.4979458333333333,2|6|8|9|10|11
35,2.0,0.0,aligned,9,3,6,6,6,11,1.0,0.473025,2|6|8|9|10|11
35,2.0,0.0,closed,1,0,1,6,6,1,1.0,0.473025,2|6|8|9|10|11
35,2.0,0.15,aligned,10,4,6,6,6,16,1.0,0.479,2|6|8|9|10|11
35,2.0,0.15,closed,7,1,6,6,6,11,1.0,0.479125,2|6|8|9|10|11
35,2.0,0.3,aligned,10,4,6,6,6,19,1.0,0.4855333333333333,2|6|8|9|10|11
35,2.0,0.3,closed,5,0,5,6,6,10,1.0,0.48539166666666667,2|6|8|9|10|11
35,2.0,0.6,aligned,9,3,6,6,6,19,1.0,0.497825,2|6|8|9|10|11
35,2.0,0.6,closed,7,1,6,6,6,14,1.0,0.49802083333333336,2|6|8|9|10|11
