rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
45,0.0,0.0,aligned,0,0,0,6,6,0,nan,0.47007916666666666,4|5|7|8|9|10
45,0.0,0.0,closed,1,1,0,6,6,1,1.0,0.47007916666666666,4|5|7|8|9|10
45,0.0,0.15,aligned,4,1,3,6,6,5,1.0,0.47589166666666666,4|5|7|8|9|10
45,0.0,0.15,closed,3,0,3,6,6,5,1.0,0.4755666666666667,4|5|7|8|9|10
45,0.0,0.3,aligned,6,1,5,6,6,8,1.0,0.48157083333333334,4|5|7|8|9|10
45,0.0,0.3,closed,3,0,3,6,6,5,1.0,0.48128333333333334,4|5|7|8|9|10
45,0.0,0.6,aligned,6,0,6,6,6,10,1.0,0.4927375,4|5|7|8|9|10
45,0.0,0.6,closed,5,0,5,6,6,8,1.0,0.49295,4|5|7|8|9|10
45,1.0,0.0,aligned,5,2,3,6,6,6,1.0,0.47007916666666666,4|5|7|8|9|10
45,1.0,0.0,closed,2,1,1,6,6,2,0.5,0.47007916666666666,4|5|7|8|9|10
45,1.0,0.15,aligned,7,2,5,6,6,11,1.0,0.4759291666666667,4|5|7|8|9|10
45,1.0,0.15,closed,4,0,4,6,6,5,1.0,0.47575,4|5|7|8|9|10
45,1.0,0.3,aligned,8,2,6,6,6,15,1.0,0.4815333333333333,4|5|7|8|9|10
45,1.0,0.3,closed,6,0,6,6,6,10,1.0,0.4812666666666667,4|5|7|8|9|10
45,1.0,0.6,aligned,9,4,5,6,6,16,1.0,0.4925791666666667,4|5|7|8|9|10
45,1.0,0.6,closed,6,1,5,6,6,9,1.0,0.4929208333333333,4|5|7|8|9|10
45,2.0,0.0,aligned,9,5,4,6,6,14,1.0,0.47007916666666666,4|5|7|8|9|10
45,2.0,0.0,closed,0,0,0,6,6,0,nan,0.47007916666666666,4|5|7|8|9|10
45,2.0,0.15,aligned,10,4,6,6,6,15,1.0,0.4759625,4|5|7|8|9|10
45,2.0,0.15,closed,4,0,4,6,6,6,1.0,0.47585,4|5|7|8|9|10
45,2.0,0.3,aligned,11,5,6,6,6,20,1.0,0.4815375,4|5|7|8|9|10
45,2.0,0.3,closed,7,1,6,6,6,11,1.0,0.4814041666666667,4|5|7|8|9|10
45,2.0,0.6,aligned,9,4,5,6,6,17,1.0,0.4925083333333333,4|5|7|8|9|10
45,2.0,0.6,closed,6,1,5,6,6,10,1.0,0.49277916666666666,4|5|7|8|9|10
