rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
33,0.0,0.0,aligned,2,1,1,6,6,2,1.0,0.4709833333333333,0|3|6|8|9|10
33,0.0,0.0,closed,0,0,0,6,6,0,nan,0.4709833333333333,0|3|6|8|9|10
33,0.0,0.15,aligned,4,1,3,6,6,6,1.0,0.47654166666666664,0|3|6|8|9|10
33,0.0,0.15,closed,3,0,3,6,6,4,1.0,0.476575,0|3|6|8|9|10
33,0.0,0.3,aligned,3,0,3,6,6,3,1.0,0.4823375,0|3|6|8|9|10
33,0.0,0.3,closed,4,0,4,6,6,6,1.0,0.482225,0|3|6|8|9|10
33,0.0,0.6,aligned,4,0,4,6,6,6,1.0,0.4929375,0|3|6|8|9|10
33,0.0,0.6,closed,4,0,4,6,6,7,1.0,0.4925333333333333,0|3|6|8|9|10
33,1.0,0.0,aligned,6,4,2,6,6,6,1.0,0.4709833333333333,0|3|6|8|9|10
33,1.0,0.0,closed,1,1,0,6,6,1,1.0,0.4709833333333333,0|3|6|8|9|10
33,1.0,0.15,aligned,3,2,1,6,6,4,1.0,0.4764541666666667,0|3|6|8|9|10
33,1.0,0.15,closed,1,0,1,6,6,2,1.0,0.4765666666666667,0|3|6|8|9|10
33,1.0,0.3,aligned,8,3,5,6,6,8,1.0,0.4822375,0|3|6|8|9|10
33,1.0,0.3,closed,4,0,4,6,6,4,1.0,0.48199166666666665,0|3|6|8|9|10
33,1.0,0.6,aligned,9,3,6,6,6,11,1.0,0.49272083333333333,0|3|6|8|9|10
33,1.0,0.6,closed,6,0,6,6,6,10,1.0,0.49265416666666667,0|3|6|8|9|10
33,2.0,0.0,aligned,6,2,4,6,6,7,1.0,0.4709833333333333,0|3|6|8|9|10
33,2.0,0.0,closed,0,0,0,6,6,0,nan,0.4709833333333333,0|3|6|8|9|10
33,2.0,0.15,aligned,5,1,4,6,6,6,1.0,0.4763833333333333,0|3|6|8|9|10
33,2.0,0.15,closed,6,1,5,6,6,8,1.0,0.47615833333333335,0|3|6|8|9|10
33,2.0,0.3,aligned,7,1,6,6,6,9,1.0,0.48202083333333334,0|3|6|8|9|10
33,2.0,0.3,closed,3,0,3,6,6,3,1.0,0.48214583333333333,0|3|6|8|9|10
33,2.0,0.6,aligned,8,2,6,6,6,12,1.0,0.4923208333333333,0|3|6|8|9|10
33,2.0,0.6,closed,4,0,4,6,6,7,1.0,0.4926333333333333,0|3|6|8|9|10
