rep,gamma,selfmask_rate,alignment,n_detect_total,n_detect_clean,n_detect_sm,n_clean_cols,n_sm_cols,n_parent_pairs,share_affected,miss_rate,sm_cols
41,0.0,0.0,aligned,0,0,0,6,6,0,nan,0.4693291666666667,1|3|6|8|9|10
41,0.0,0.0,closed,1,0,1,6,6,1,1.0,0.4693291666666667,1|3|6|8|9|10
41,0.0,0.15,aligned,4,0,4,6,6,6,1.0,0.4750875,1|3|6|8|9|10
41,0.0,0.15,closed,5,1,4,6,6,6,1.0,0.4749125,1|3|6|8|9|10
41,0.0,0.3,aligned,5,0,5,6,6,11,1.0,0.481,1|3|6|8|9|10
41,0.0,0.3,closed,6,1,5,6,6,10,0.9,0.48089583333333336,1|3|6|8|9|10
41,0.0,0.6,aligned,5,0,5,6,6,13,1.0,0.4925375,1|3|6|8|9|10
41,0.0,0.6,closed,8,2,6,6,6,16,0.9375,0.49244166666666667,1|3|6|8|9|10
41,1.0,0.0,aligned,3,1,2,6,6,3,1.0,0.4693291666666667,1|3|6|8|9|10
41,1.0,0.0,closed,2,1,1,6,6,2,0.5,0.4693291666666667,1|3|6|8|9|10
41,1.0,0.15,aligned,5,1,4,6,6,7,1.0,0.4751666666666667,1|3|6|8|9|10
41,1.0,0.15,closed,4,0,4,6,6,7,1.0,0.47500416666666667,1|3|6|8|9|10
41,1.0,0.3,aligned,5,0,5,6,6,9,1.0,0.4810833333333333,1|3|6|8|9|10
41,1.0,0.3,closed,5,0,5,6,6,9,1.0,0.4809625,1|3|6|8|9|10
41,1.0,0.6,aligned,7,1,6,6,6,16,0.9375,0.4924541666666667,1|3|6|8|9|10
41,1.0,0.6,closed,6,1,5,6,6,14,1.0,0.4928125,1|3|6|8|9|10
41,2.0,0.0,aligned,6,4,2,6,6,6,1.0,0.4693291666666667,1|3|6|8|9|10
41,2.0,0.0,closed,1,0,1,6,6,1,1.0,0.4693291666666667,1|3|6|8|9|10
41,2.0,0.15,aligned,8,4,4,6,6,11,1.0,0.47507916666666666,1|3|6|8|9|10
41,2.0,0.15,closed,4,0,4,6,6,7,1.0,0.4751416666666667,1|3|6|8|9|10
41,2.0,0.3,aligned,10,4,6,6,6,16,1.0,0.48080833333333334,1|3|6|8|9|10
41,2.0,0.3,closed,4,0,4,6,6,9,1.0,0.4809583333333333,1|3|6|8|9|10
41,2.0,0.6,aligned,9,3,6,6,6,18,0.9444444444444444,0.4921291666666667,1|3|6|8|9|10
41,2.0,0.6,closed,7,2,5,6,6,16,0.9375,0.4923625,1|3|6|8|9|10
