rep,gamma,alignment,selfmask,n_indicators_with_parent,n_parent_pairs,share_affected,share_child,n_affected,standin,miss_rate
19,0.0,aligned,0,12,32,1.0,0.3125,12,1,0.470675
19,0.0,closed,0,12,32,1.0,0.3125,12,0,0.470675
19,1.0,aligned,0,12,32,1.0,0.3125,12,8,0.470675
19,1.0,closed,0,12,33,1.0,0.30303030303030304,12,0,0.470675
19,2.0,aligned,0,12,33,1.0,0.30303030303030304,12,12,0.470675
19,2.0,closed,0,12,34,1.0,0.29411764705882354,12,0,0.470675
19,1.0,aligned,1,12,32,1.0,0.3125,12,7,0.4943875
19,1.0,closed,1,12,32,1.0,0.3125,12,0,0.49390416666666664
