rep,gamma,alignment,selfmask,n_indicators_with_parent,n_parent_pairs,share_affected,share_child,n_affected,standin,miss_rate
11,0.0,aligned,0,12,37,0.9459459459459459,0.2702702702702703,11,0,0.4705416666666667
11,0.0,closed,0,12,36,0.9444444444444444,0.2777777777777778,11,0,0.4705416666666667
11,1.0,aligned,0,12,36,0.9444444444444444,0.25,11,6,0.4705416666666667
11,1.0,closed,0,12,33,0.9393939393939394,0.24242424242424243,11,0,0.4705416666666667
11,2.0,aligned,0,12,37,0.9459459459459459,0.2702702702702703,11,11,0.4705416666666667
11,2.0,closed,0,12,37,0.9459459459459459,0.2702702702702703,11,0,0.4705416666666667
11,1.0,aligned,1,12,36,0.9444444444444444,0.25,11,4,0.4942708333333333
11,1.0,closed,1,12,36,0.9444444444444444,0.25,11,0,0.49422083333333333
