rep,gamma,alignment,selfmask,n_indicators_with_parent,n_parent_pairs,share_affected,share_child,n_affected,standin,miss_rate
2,0.0,aligned,0,11,31,0.9032258064516129,0.22580645161290322,10,0,0.4696625
2,0.0,closed,0,11,33,0.9090909090909091,0.24242424242424243,10,0,0.4696625
2,1.0,aligned,0,11,31,0.9032258064516129,0.22580645161290322,10,1,0.4696625
2,1.0,closed,0,11,30,0.9,0.23333333333333334,10,0,0.4696625
2,2.0,aligned,0,11,31,0.9032258064516129,0.22580645161290322,10,7,0.4696625
2,2.0,closed,0,11,33,0.9090909090909091,0.24242424242424243,10,0,0.4696625
2,1.0,aligned,1,12,30,0.9,0.26666666666666666,10,1,0.4932916666666667
2,1.0,closed,1,11,31,0.9032258064516129,0.22580645161290322,10,0,0.49335
